Date,Open,High,Low,Close,Adj Close,Volume
2019-05-21,307.000000,309.850006,304.850006,305.299988,305.299988,682014
2019-05-22,302.950012,302.950012,296.799988,299.549988,299.549988,665433
2019-05-23,304.899994,305.549988,287.100006,288.500000,288.500000,1376811
2019-05-24,292.000000,292.000000,287.500000,290.149994,290.149994,682128
2019-05-27,292.000000,293.549988,289.250000,290.399994,290.399994,621108
2019-05-28,291.250000,291.700012,288.200012,289.000000,289.000000,437569
2019-05-29,289.950012,291.500000,287.950012,288.350006,288.350006,365088
2019-05-30,289.549988,290.899994,288.200012,289.100006,289.100006,245478
2019-05-31,289.000000,291.450012,277.899994,278.649994,278.649994,1062006
2019-06-03,281.000000,281.649994,275.450012,278.549988,278.549988,738020
2019-06-04,279.700012,282.149994,278.899994,279.649994,279.649994,492711
2019-06-06,281.000000,281.000000,275.500000,276.100006,276.100006,407457
2019-06-07,276.149994,276.899994,274.500000,275.899994,275.899994,404021
2019-06-10,278.000000,280.500000,277.100006,279.600006,279.600006,1670972
2019-06-11,280.299988,281.500000,279.399994,280.000000,280.000000,274213
2019-06-12,281.899994,281.899994,278.250000,280.000000,280.000000,322202
2019-06-13,279.899994,281.250000,278.549988,279.850006,279.850006,551687
2019-06-14,280.700012,280.700012,277.250000,277.950012,277.950012,556112
2019-06-17,279.000000,279.000000,274.450012,275.299988,275.299988,936447
2019-06-18,276.500000,277.799988,274.000000,275.600006,275.600006,1090704
2019-06-19,276.000000,278.899994,275.500000,277.350006,277.350006,595835
2019-06-20,278.350006,278.350006,275.350006,277.149994,277.149994,515190
2019-06-21,277.899994,277.899994,273.350006,274.250000,274.250000,940742
2019-06-24,274.000000,277.200012,274.000000,276.299988,276.299988,430833
2019-06-25,275.700012,279.950012,274.450012,278.250000,278.250000,662361
2019-06-26,278.500000,278.649994,276.549988,277.350006,277.350006,475462
2019-06-27,278.000000,278.149994,272.950012,273.549988,273.549988,516338
2019-06-28,274.200012,275.399994,272.649994,273.950012,273.950012,515331
2019-07-01,274.899994,276.350006,274.100006,274.850006,274.850006,476766
2019-07-02,275.149994,275.899994,273.299988,273.750000,273.750000,701564
2019-07-03,275.000000,277.500000,272.250000,276.700012,276.700012,561326
2019-07-04,278.600006,278.600006,275.350006,277.700012,277.700012,629302
2019-07-05,277.000000,281.850006,268.100006,279.450012,279.450012,1975803
2019-07-08,281.649994,282.950012,275.899994,277.299988,277.299988,700919
2019-07-09,278.500000,278.500000,272.450012,273.049988,273.049988,620321
2019-07-10,274.799988,275.149994,270.899994,273.350006,273.350006,513652
2019-07-11,273.700012,276.899994,273.700012,275.700012,275.700012,518641
2019-07-12,277.500000,277.500000,273.200012,274.950012,274.950012,381208
2019-07-15,275.100006,275.600006,270.500000,270.899994,270.899994,1277244
