Date,Open,High,Low,Close,Adj Close,Volume
2019-09-17,830.000000,834.000000,821.000000,831.049988,809.551453,99229
2019-09-18,831.049988,832.900024,824.349976,829.849976,808.382446,82724
2019-09-19,825.000000,826.650024,815.099976,821.000000,799.761414,116759
2019-09-20,822.349976,834.750000,802.000000,805.099976,784.272766,354899
2019-09-23,810.000000,810.000000,742.099976,765.099976,745.307495,1147448
2019-09-24,767.700012,798.700012,766.000000,794.049988,773.508606,958044
2019-09-25,791.000000,801.549988,782.200012,792.200012,771.706482,461452
2019-09-26,792.000000,796.849976,778.500000,782.049988,761.818970,337839
2019-09-27,788.000000,794.250000,780.049988,782.349976,762.111267,624420
2019-09-30,782.349976,807.950012,782.349976,805.299988,784.467529,350883
2019-10-01,809.799988,809.799988,791.750000,793.549988,773.021484,225039
2019-10-03,793.000000,797.750000,784.299988,785.500000,765.179810,126115
2019-10-04,795.000000,797.549988,788.099976,793.250000,772.729309,215977
2019-10-07,795.000000,802.200012,786.500000,789.549988,769.125000,179647
2019-10-09,793.500000,796.000000,779.000000,784.000000,763.718628,132315
2019-10-10,783.500000,794.500000,777.099976,782.900024,762.647095,166108
2019-10-11,785.950012,823.349976,777.000000,815.700012,794.598511,532657
2019-10-14,789.000000,796.900024,781.000000,785.650024,765.325928,454942
2019-10-15,773.799988,774.750000,765.000000,767.799988,747.937683,342205
2019-10-16,768.000000,776.000000,762.000000,771.450012,751.493286,322436
2019-10-17,768.900024,770.549988,765.200012,769.099976,749.203979,180800
2019-10-18,766.650024,773.599976,760.099976,767.750000,747.888977,279245
2019-10-22,691.000000,691.000000,638.299988,643.299988,626.658386,11771780
2019-10-23,637.299988,656.400024,615.000000,650.750000,633.915649,5055545
2019-10-24,650.700012,653.099976,632.049988,635.400024,618.962769,1726291
2019-10-25,644.299988,652.500000,636.000000,637.549988,621.057129,834375
2019-10-27,651.000000,652.000000,645.599976,648.950012,632.162231,248244
2019-10-29,654.000000,654.000000,647.000000,650.599976,633.769531,1048701
2019-10-30,659.000000,671.000000,656.250000,660.450012,643.364685,914388
2019-10-31,669.000000,695.250000,666.450012,685.500000,667.766724,1215604
2019-11-01,689.900024,694.000000,682.750000,688.000000,670.202026,600344
2019-11-04,684.400024,732.500000,678.299988,709.000000,690.658752,1849592
2019-11-05,709.000000,709.000000,691.750000,695.799988,677.800232,852025
2019-11-06,697.599976,721.500000,691.700012,712.299988,693.873352,914354
2019-11-07,716.000000,724.000000,712.400024,719.950012,701.325500,511202
2019-11-08,722.500000,724.450012,705.599976,708.450012,690.123047,531345
2019-11-11,707.000000,707.099976,698.099976,704.500000,686.275146,289378
2019-11-13,695.500000,699.950012,688.000000,691.250000,673.367920,627414
2019-11-14,695.000000,709.750000,695.000000,705.349976,687.103210,603556
2019-11-15,707.299988,712.650024,702.150024,703.950012,685.739441,346966
2019-11-18,704.500000,709.900024,699.750000,705.549988,687.298035,237120
2019-11-19,710.900024,714.400024,706.000000,712.799988,694.360474,378657
2019-11-20,712.650024,715.000000,706.200012,712.799988,694.360474,294235
2019-11-21,714.049988,721.400024,710.799988,713.750000,695.285889,320743
2019-11-22,713.000000,713.000000,685.099976,693.150024,675.218872,711451
2019-11-25,694.400024,705.000000,694.000000,698.000000,679.943359,233214
2019-11-26,701.200012,707.200012,686.000000,690.700012,672.832214,213471
2019-11-27,695.700012,697.599976,690.200012,696.049988,678.043762,147999
2019-11-28,698.500000,703.000000,694.400024,701.650024,683.498962,239978
2019-11-29,703.000000,703.200012,691.799988,695.950012,677.946350,166618
2019-12-02,702.349976,704.349976,690.349976,692.900024,674.975281,1921228
2019-12-03,695.799988,699.400024,689.000000,698.349976,680.284302,384709
2019-12-04,695.000000,710.400024,694.349976,708.200012,689.879456,377545
2019-12-05,707.099976,716.099976,704.299988,714.650024,696.162659,860862
2019-12-06,717.900024,720.000000,709.650024,715.150024,696.649719,294722
2019-12-09,716.799988,722.200012,715.099976,716.900024,698.354431,448298
2019-12-10,715.549988,718.650024,710.200012,714.250000,695.773010,260536
2019-12-11,715.500000,722.750000,713.400024,720.799988,702.153503,227873
2019-12-12,720.799988,720.799988,695.000000,701.849976,683.693726,1731787
2019-12-13,706.900024,712.700012,700.099976,711.250000,692.850525,694603
2019-12-16,711.250000,720.000000,710.349976,714.000000,695.529419,253695
2019-12-17,717.549988,731.500000,715.299988,729.299988,710.433594,509857
2019-12-18,729.500000,737.250000,723.099976,732.500000,713.550842,352727
2019-12-19,732.000000,736.000000,724.799988,731.200012,712.284485,370840
2019-12-20,732.099976,735.000000,728.349976,732.000000,713.063782,187057
2019-12-23,732.000000,737.250000,731.400024,735.849976,716.814209,105902
2019-12-24,736.150024,736.799988,728.500000,733.250000,714.281494,92997
2019-12-26,734.000000,734.700012,727.000000,729.250000,710.384949,139762
2019-12-27,729.250000,737.650024,728.750000,736.799988,717.739563,105409
2019-12-30,736.000000,737.700012,727.450012,732.799988,713.843079,669807
2019-12-31,732.099976,737.500000,725.500000,731.750000,712.820251,254993
2020-01-01,733.599976,739.900024,732.650024,736.900024,717.837097,86151
2020-01-02,738.049988,740.200012,731.349976,734.700012,715.693970,131129
2020-01-03,734.500000,747.750000,734.250000,746.099976,726.799011,288087
2020-01-06,745.099976,753.950012,736.700012,738.650024,719.541748,191481
2020-01-07,739.049988,742.349976,725.150024,727.750000,708.923706,211980
2020-01-08,725.000000,728.700012,708.400024,718.150024,699.572083,280761
2020-01-09,722.900024,731.250000,714.500000,727.549988,708.728882,321670
2020-01-10,732.000000,742.799988,730.799988,738.250000,719.152100,359749
2020-01-13,763.000000,777.549988,755.549988,773.400024,753.392822,968764
2020-01-14,770.599976,776.799988,767.299988,775.349976,755.292297,239821
2020-01-15,775.000000,775.000000,762.799988,767.700012,747.840271,185699
2020-01-16,772.000000,772.200012,760.400024,766.849976,747.012207,153766
2020-01-17,771.000000,772.000000,762.700012,767.849976,747.986328,88333
2020-01-20,770.000000,774.450012,763.349976,768.349976,748.473389,105542
2020-01-21,768.349976,770.700012,760.549988,761.900024,742.190308,61778
2020-01-22,765.099976,778.000000,765.099976,769.950012,750.032104,276071
2020-01-23,774.000000,785.200012,774.000000,784.549988,764.254333,266667
2020-01-24,776.000000,786.200012,773.799988,782.950012,762.695801,713930
2020-01-27,779.700012,784.500000,774.799988,777.900024,757.776428,111853
2020-01-28,779.799988,780.799988,772.099976,777.900024,757.776428,543368
2020-01-29,783.000000,792.549988,783.000000,789.450012,769.027588,434306
2020-01-30,792.000000,792.000000,778.049988,780.200012,760.016907,80734
2020-01-31,781.750000,784.250000,771.750000,776.349976,756.266479,70808
2020-02-03,780.549988,790.000000,764.500000,767.200012,747.353210,119026
2020-02-04,769.500000,789.349976,769.500000,787.849976,767.468994,105746
2020-02-05,787.000000,787.000000,774.250000,784.500000,764.205627,350877
2020-02-06,784.500000,786.549988,770.000000,770.950012,751.006165,936087
